產品代號,產品,6月26日,6月27日,6月28日,6月29日,6月30日,7月1日,7月2日,7月3日,7月4日,7月5日,7月6日,7月7日,7月8日,7月9日,7月10日,7月11日,7月12日,7月13日,7月14日,7月15日,7月16日,7月17日,7月18日,7月19日,7月20日,7月21日,7月22日,7月23日,7月24日,7月25日,7月26日,7月27日,7月28日,7月29日,7月30日,7月31日,8月1日,8月2日,8月3日,8月4日,8月5日,8月6日,8月7日,8月8日,8月9日,8月10日,8月11日,8月12日,8月13日,8月14日,8月15日,8月16日,8月17日,8月18日,8月19日,8月20日,8月21日,8月22日,8月23日,8月24日,8月25日,8月26日,8月27日,8月28日,8月29日,8月30日,8月31日,9月1日,9月2日,9月3日,9月4日,9月5日,9月6日,9月7日,9月8日,9月9日,9月10日,9月11日,9月12日,9月13日,9月14日,9月15日,9月16日,9月17日,9月18日,9月19日,9月20日,9月21日,9月22日,9月23日
HUKHB01225,一坪海岸線光柵卡,42,7,3,5,5,13,3,2,2,1,4,4,23,20,4,3,6,0,3,1,5,4,0,5,3,3,3,3,2,1,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,3,0,0,1,3,2,0,1,2,6,0,0,1,2,2,2,28,4,0,0,0,2,2,0,1,,,,,,,,,
HUKHB02025,壓克力卡磚 (3款隨機出貨),14,4,2,2,5,1,0,0,0,2,0,0,5,1,5,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,2,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02525,獵人貪婪之島-貪婪之島卡片包(5張一包，隨機出貨) ※最低購買量為5包,81,22,6,14,2,2,11,5,6,4,4,5,31,25,18,11,8,3,2,2,9,1,0,4,5,12,17,6,6,2,11,5,5,2,1,3,3,6,4,2,6,1,1,0,0,0,2,1,4,1,1,4,0,0,7,5,5,1,0,1,0,0,1,0,5,3,3,1,15,8,5,6,9,10,0,0,0,30,5,0,0,,,,,,,,,
HUKHB02225,雙閃徽章（6款隨機出貨）,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,38,0,2,0,12,0,2,0,0,0,0,7,9,0,5,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,54,25,2,16,18,5,5,3,2,0,0,0,81,33,0,0,0,0,0,0,4,9,6,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1,8,5,11,2,3,1,4,11,2,3,1,3,1,5,2,3,9,13,2,5,3,22,0,9,15,30,10,0,13,5,6,1,,,,,,,,,
HUKHB02625,光柵鐳射票（6款隨機出貨）,11,2,0,0,6,0,2,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02325,光柵徽章（6款隨機出貨）,10,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02825,角色抱枕 (小傑款）,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02925,角色抱枕 (奇犽款）,7,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
HUKHB03025,集卡冊抱枕,17,3,1,1,5,2,5,3,1,0,0,0,7,10,8,1,1,0,0,0,2,1,1,2,0,2,2,2,1,0,3,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,1,0,0,0,,,,,,,,,
,獵人貪婪之島-5選3商品特惠組,54,16,12,2,6,3,5,5,4,0,2,2,16,19,13,4,5,1,2,2,7,8,1,4,5,7,32,0,3,9,22,10,0,16,5,0,0,0,0,1,2,0,0,0,1,1,0,0,3,6,2,0,0,0,1,0,1,6,0,0,1,1,5,1,0,3,3,0,0,15,2,12,4,3,0,0,4,14,10,7,1,,,,,,,,,
HUKHB02325,光柵徽章（6款隨機出貨）,31,14,11,2,6,1,2,1,0,0,0,2,3,12,9,4,3,0,1,1,3,3,1,1,3,7,8,0,2,7,14,8,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,1,4,0,0,0,0,5,0,0,0,0,0,0,5,0,0,4,3,0,0,3,11,0,0,1,,,,,,,,,
HUKHB02525,獵人貪婪之島-貪婪之島卡片包(5張一包，隨機出貨),37,8,11,2,4,2,4,4,4,0,1,2,14,14,10,4,5,1,2,1,5,7,0,3,5,6,32,0,3,9,9,3,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,6,2,0,0,0,1,0,1,2,0,0,1,1,0,1,0,3,3,0,0,15,2,12,3,3,0,0,2,13,10,7,1,,,,,,,,,
HUKHB02625,光柵鐳射票（6款隨機出貨）,44,11,7,0,2,0,2,1,0,0,1,1,14,8,3,0,0,0,1,1,3,6,0,4,2,1,9,0,0,1,3,9,0,16,5,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,1,0,3,2,0,0,15,2,10,4,3,0,0,4,2,7,1,1,,,,,,,,,
HUKHB02225,雙閃徽章（6款隨機出貨）,10,4,1,0,0,3,3,5,4,0,2,1,2,4,5,0,2,1,1,1,4,0,1,0,0,0,15,0,1,2,18,3,0,10,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,3,6,0,,,,,,,,,
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,40,11,6,2,6,3,4,4,4,0,2,0,15,19,12,4,5,1,1,2,6,8,1,4,5,7,32,0,3,8,22,7,0,10,5,0,0,0,0,1,1,0,0,0,0,1,0,0,3,6,2,0,0,0,1,0,1,6,0,0,1,1,0,1,0,3,3,0,0,10,2,12,1,0,0,0,2,14,10,7,0,,,,,,,,,
,獵人貪婪之島-項鏈(聖騎士的首飾)&貪婪之島戒指,31,4,2,4,5,8,1,2,6,0,2,3,22,8,8,3,6,0,2,2,3,2,2,1,1,0,0,2,2,0,2,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,1,3,3,1,2,1,0,1,0,0,0,0,1,,,,,,,,,
,項鍊+戒指(優惠組合1999),18,2,2,1,3,7,1,1,5,0,0,2,16,6,5,1,2,0,0,0,2,0,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,,,,,,,,,
HUKHB03125,貪婪之島戒指,13,1,0,3,2,1,0,1,1,0,0,0,1,1,0,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
HUKHB02725,項鏈(聖騎士的首飾),0,1,0,0,0,0,0,0,0,0,2,1,5,1,3,2,2,0,2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
HUKHB03225,貪婪之島Type C隨身碟(32G),31,2,6,1,3,4,0,3,0,1,0,2,7,19,2,0,3,0,0,0,2,0,0,3,0,0,2,0,2,2,3,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,1,,,,,,,,,
HUKHB00225,獵人貪婪之島-生命之音刺繡徽章【加價購】,15,3,1,2,3,0,0,0,1,1,1,0,11,3,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02425,獵人貪婪之島-卡片鑰匙圈(30款隨機出貨)【加價購】,149,35,17,17,23,0,0,4,0,0,0,0,116,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02525,獵人貪婪之島-貪婪之島卡片包(5張一包，隨機出貨)【加價購】,152,34,14,20,21,0,0,7,7,10,12,15,216,75,0,0,0,0,0,6,15,20,3,10,11,8,41,7,9,11,36,11,7,12,6,3,2,7,4,1,5,2,1,0,0,1,3,4,7,7,3,4,0,0,5,8,7,4,0,1,6,8,3,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHB02425,【預購】獵人貪婪之島-卡片鑰匙圈(30款隨機出貨)※兩個一組,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,6,12,6,15,3,4,5,10,3,7,9,8,1,4,10,1,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,【HUNTER × HUNTER 獵人】獵人貪婪之島-場景立牌(5款隨機出貨)&卡片立牌(10款隨機出貨)※兩個一組,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,,,,,,,,,
HUKHF00125,兩個一組-場景立牌(5款隨機出貨),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
HUKHF00225,兩個一組-卡片立牌(10款隨機出貨),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
,場景立牌+卡片立牌各一(隨機出貨),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,,,,,,,,
HUKHF00125,【HUNTER × HUNTER 獵人】獵人貪婪之島-場景立牌(5款隨機出貨)【加價購】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,
HUKHF00225,【HUNTER × HUNTER 獵人】獵人貪婪之島-卡片立牌(10款隨機出貨)【加價購】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,2,0,0,1,2,1,2,0,6,1,1,0,1,0,0,0,1,0,0,0,,,,,,,,,
